0,1,2,3
U,F,2F,L
U,F,2F,B
U,F,2F,D
U,F,2F,U'
U,F,2F,F'
U,F,2F,R'
U,F,2F,L'
U,F,2F,B'
U,F,2F,D'
U,F,2F,2U
U,F,2F,2F
U,F,2F,2R
U,F,2F,2L
U,F,2F,2B
U,F,2F,2D
U,F,2F,2U'
U,F,2F,2F'
U,F,2F,2R'
U,F,2F,2L'
U,F,2F,2B'
U,F,2F,2D'
U,F,2R,U
U,F,2R,F
U,F,2R,R
U,F,2R,L
U,F,2R,B
U,F,2R,D
U,F,2R,U'
U,F,2R,F'
U,F,2R,R'
U,F,2R,L'
U,F,2R,B'
U,F,2R,D'
U,F,2R,2U
U,F,2R,2F
U,F,2R,2R
U,F,2R,2L
U,F,2R,2B
U,F,2R,2D
U,F,2R,2U'
U,F,2R,2F'
U,F,2R,2R'
U,F,2R,2L'
U,F,2R,2B'
U,F,2R,2D'
U,F,2L,U
U,F,2L,F
U,F,2L,R
U,F,2L,L
U,F,2L,B
U,F,2L,D
U,F,2L,U'
U,F,2L,F'
U,F,2L,R'
U,F,2L,L'
U,F,2L,B'
U,F,2L,D'
U,F,2L,2U
U,F,2L,2F
U,F,2L,2R
U,F,2L,2L
U,F,2L,2B
U,F,2L,2D
U,F,2L,2U'
U,F,2L,2F'
U,F,2L,2R'
U,F,2L,2L'
U,F,2L,2B'
U,F,2L,2D'
U,F,2B,U
U,F,2B,F
U,F,2B,R
U,F,2B,L
U,F,2B,B
U,F,2B,D
U,F,2B,U'
U,F,2B,F'
U,F,2B,R'
U,F,2B,L'
U,F,2B,B'
U,F,2B,D'
U,F,2B,2U
U,F,2B,2F
U,F,2B,2R
U,F,2B,2L
U,F,2B,2B
U,F,2B,2D
U,F,2B,2U'
U,F,2B,2F'
U,F,2B,2R'
U,F,2B,2L'
U,F,2B,2B'
U,F,2B,2D'
U,F,2D,U
U,F,2D,F
U,F,2D,R
U,F,2D,L
U,F,2D,B
U,F,2D,D
U,F,2D,U'
U,F,2D,F'
U,F,2D,R'
U,F,2D,L'
U,F,2D,B'
U,F,2D,D'
U,F,2D,2U
U,F,2D,2F
U,F,2D,2R
U,F,2D,2L
U,F,2D,2B
U,F,2D,2D
U,F,2D,2U'
U,F,2D,2F'
U,F,2D,2R'
U,F,2D,2L'
U,F,2D,2B'
U,F,2D,2D'
U,F,2U',U
U,F,2U',F
U,F,2U',R
U,F,2U',L
U,F,2U',B
U,F,2U',D
U,F,2U',U'
U,F,2U',F'
U,F,2U',R'
U,F,2U',L'
U,F,2U',B'
U,F,2U',D'
U,F,2U',2U
U,F,2U',2F
U,F,2U',2R
U,F,2U',2L
U,F,2U',2B
U,F,2U',2D
U,F,2U',2U'
U,F,2U',2F'
U,F,2U',2R'
U,F,2U',2L'
U,F,2U',2B'
U,F,2U',2D'
U,F,2F',U
U,F,2F',F
U,F,2F',R
U,F,2F',L
U,F,2F',B
U,F,2F',D
U,F,2F',U'
U,F,2F',F'
U,F,2F',R'
U,F,2F',L'
U,F,2F',B'
U,F,2F',D'
U,F,2F',2U
U,F,2F',2F
U,F,2F',2R
U,F,2F',2L
U,F,2F',2B
U,F,2F',2D
U,F,2F',2U'
U,F,2F',2F'
U,F,2F',2R'
U,F,2F',2L'
U,F,2F',2B'
U,F,2F',2D'
U,F,2R',U
U,F,2R',F
U,F,2R',R
U,F,2R',L
U,F,2R',B
U,F,2R',D
U,F,2R',U'
U,F,2R',F'
U,F,2R',R'
U,F,2R',L'
U,F,2R',B'
U,F,2R',D'
U,F,2R',2U
U,F,2R',2F
U,F,2R',2R
U,F,2R',2L
U,F,2R',2B
U,F,2R',2D
U,F,2R',2U'
U,F,2R',2F'
U,F,2R',2R'
U,F,2R',2L'
U,F,2R',2B'
U,F,2R',2D'
U,F,2L',U
U,F,2L',F
U,F,2L',R
U,F,2L',L
U,F,2L',B
U,F,2L',D
U,F,2L',U'
U,F,2L',F'
U,F,2L',R'
U,F,2L',L'
U,F,2L',B'
U,F,2L',D'
U,F,2L',2U
U,F,2L',2F
U,F,2L',2R
U,F,2L',2L
U,F,2L',2B
U,F,2L',2D
U,F,2L',2U'
U,F,2L',2F'
U,F,2L',2R'
U,F,2L',2L'
U,F,2L',2B'
U,F,2L',2D'
U,F,2B',U
U,F,2B',F
U,F,2B',R
U,F,2B',L
U,F,2B',B
U,F,2B',D
U,F,2B',U'
U,F,2B',F'
U,F,2B',R'
U,F,2B',L'
U,F,2B',B'
U,F,2B',D'
U,F,2B',2U
U,F,2B',2F
U,F,2B',2R
U,F,2B',2L
U,F,2B',2B
U,F,2B',2D
U,F,2B',2U'
U,F,2B',2F'
U,F,2B',2R'
U,F,2B',2L'
U,F,2B',2B'
U,F,2B',2D'
U,F,2D',U
U,F,2D',F
U,F,2D',R
U,F,2D',L
U,F,2D',B
U,F,2D',D
U,F,2D',U'
U,F,2D',F'
U,F,2D',R'
U,F,2D',L'
U,F,2D',B'
U,F,2D',D'
U,F,2D',2U
U,F,2D',2F
U,F,2D',2R
U,F,2D',2L
U,F,2D',2B
U,F,2D',2D
U,F,2D',2U'
U,F,2D',2F'
U,F,2D',2R'
U,F,2D',2L'
U,F,2D',2B'
U,F,2D',2D'
U,R,U,U
U,R,U,F
U,R,U,R
U,R,U,L
U,R,U,B
U,R,U,D
U,R,U,U'
U,R,U,F'
U,R,U,R'
U,R,U,L'
U,R,U,B'
U,R,U,D'
U,R,U,2U
U,R,U,2F
U,R,U,2R
U,R,U,2L
U,R,U,2B
U,R,U,2D
U,R,U,2U'
U,R,U,2F'
U,R,U,2R'
U,R,U,2L'
U,R,U,2B'
U,R,U,2D'
U,R,F,U
U,R,F,F
U,R,F,R
U,R,F,L
U,R,F,B
U,R,F,D
U,R,F,U'
U,R,F,F'
U,R,F,R'
U,R,F,L'
U,R,F,B'
U,R,F,D'
U,R,F,2U
U,R,F,2F
U,R,F,2R
U,R,F,2L
U,R,F,2B
U,R,F,2D
U,R,F,2U'
U,R,F,2F'
U,R,F,2R'
U,R,F,2L'
U,R,F,2B'
U,R,F,2D'
U,R,R,U
U,R,R,F
U,R,R,R
U,R,R,L
U,R,R,B
U,R,R,D
U,R,R,U'
U,R,R,F'
U,R,R,R'
U,R,R,L'
U,R,R,B'
U,R,R,D'
U,R,R,2U
U,R,R,2F
U,R,R,2R
U,R,R,2L
U,R,R,2B
U,R,R,2D
U,R,R,2U'
U,R,R,2F'
U,R,R,2R'
U,R,R,2L'
U,R,R,2B'
U,R,R,2D'
U,R,L,U
U,R,L,F
U,R,L,R
U,R,L,L
U,R,L,B
U,R,L,D
U,R,L,U'
U,R,L,F'
U,R,L,R'
U,R,L,L'
U,R,L,B'
U,R,L,D'
U,R,L,2U
U,R,L,2F
U,R,L,2R
U,R,L,2L
U,R,L,2B
U,R,L,2D
U,R,L,2U'
U,R,L,2F'
U,R,L,2R'
U,R,L,2L'
U,R,L,2B'
U,R,L,2D'
U,R,B,U
U,R,B,F
U,R,B,R
U,R,B,L
U,R,B,B
U,R,B,D
U,R,B,U'
U,R,B,F'
U,R,B,R'
U,R,B,L'
U,R,B,B'
U,R,B,D'
U,R,B,2U
U,R,B,2F
U,R,B,2R
U,R,B,2L
U,R,B,2B
U,R,B,2D
U,R,B,2U'
U,R,B,2F'
U,R,B,2R'
U,R,B,2L'
U,R,B,2B'
U,R,B,2D'
U,R,D,U
U,R,D,F
U,R,D,R
U,R,D,L
U,R,D,B
U,R,D,D
U,R,D,U'
U,R,D,F'
U,R,D,R'
U,R,D,L'
U,R,D,B'
U,R,D,D'
U,R,D,2U
U,R,D,2F
U,R,D,2R
U,R,D,2L
U,R,D,2B
U,R,D,2D
U,R,D,2U'
U,R,D,2F'
U,R,D,2R'
U,R,D,2L'
U,R,D,2B'
U,R,D,2D'
U,R,U',U
U,R,U',F
U,R,U',R
U,R,U',L
U,R,U',B
U,R,U',D
U,R,U',U'
U,R,U',F'
U,R,U',R'
U,R,U',L'
U,R,U',B'
U,R,U',D'
U,R,U',2U
U,R,U',2F
U,R,U',2R
U,R,U',2L
U,R,U',2B
U,R,U',2D
U,R,U',2U'
U,R,U',2F'
U,R,U',2R'
U,R,U',2L'
U,R,U',2B'
U,R,U',2D'
U,R,F',U
U,R,F',F
U,R,F',R
U,R,F',L
U,R,F',B
U,R,F',D
U,R,F',U'
U,R,F',F'
U,R,F',R'
U,R,F',L'
U,R,F',B'
U,R,F',D'
U,R,F',2U
U,R,F',2F
U,R,F',2R
U,R,F',2L
U,R,F',2B
U,R,F',2D
U,R,F',2U'
U,R,F',2F'
U,R,F',2R'
U,R,F',2L'
U,R,F',2B'
U,R,F',2D'
U,R,R',U
U,R,R',F
U,R,R',R
U,R,R',L
U,R,R',B
U,R,R',D
U,R,R',U'
U,R,R',F'
U,R,R',R'
U,R,R',L'
U,R,R',B'
U,R,R',D'
U,R,R',2U
U,R,R',2F
U,R,R',2R
U,R,R',2L
U,R,R',2B
U,R,R',2D
U,R,R',2U'
U,R,R',2F'
U,R,R',2R'
U,R,R',2L'
U,R,R',2B'
U,R,R',2D'
U,R,L',U
U,R,L',F
U,R,L',R
U,R,L',L
U,R,L',B
U,R,L',D
U,R,L',U'
U,R,L',F'
U,R,L',R'
U,R,L',L'
U,R,L',B'
U,R,L',D'
U,R,L',2U
U,R,L',2F
U,R,L',2R
U,R,L',2L
U,R,L',2B
U,R,L',2D
U,R,L',2U'
U,R,L',2F'
U,R,L',2R'
U,R,L',2L'
U,R,L',2B'
U,R,L',2D'
U,R,B',U
U,R,B',F
U,R,B',R
U,R,B',L
U,R,B',B
U,R,B',D
U,R,B',U'
U,R,B',F'
U,R,B',R'
U,R,B',L'
U,R,B',B'
U,R,B',D'
U,R,B',2U
U,R,B',2F
U,R,B',2R
U,R,B',2L
U,R,B',2B
U,R,B',2D
U,R,B',2U'
U,R,B',2F'
U,R,B',2R'
U,R,B',2L'
U,R,B',2B'
U,R,B',2D'
U,R,D',U
U,R,D',F
U,R,D',R
U,R,D',L
U,R,D',B
U,R,D',D
U,R,D',U'
U,R,D',F'
U,R,D',R'
U,R,D',L'
U,R,D',B'
U,R,D',D'
U,R,D',2U
U,R,D',2F
U,R,D',2R
U,R,D',2L
U,R,D',2B
U,R,D',2D
U,R,D',2U'
U,R,D',2F'
U,R,D',2R'
U,R,D',2L'
U,R,D',2B'
U,R,D',2D'
U,R,2U,U
U,R,2U,F
U,R,2U,R
U,R,2U,L
U,R,2U,B
U,R,2U,D
U,R,2U,U'
U,R,2U,F'
U,R,2U,R'
U,R,2U,L'
U,R,2U,B'
U,R,2U,D'
U,R,2U,2U
U,R,2U,2F
U,R,2U,2R
U,R,2U,2L
U,R,2U,2B
U,R,2U,2D
U,R,2U,2U'
U,R,2U,2F'
U,R,2U,2R'
U,R,2U,2L'
U,R,2U,2B'
U,R,2U,2D'
U,R,2F,U
U,R,2F,F
U,R,2F,R
U,R,2F,L
U,R,2F,B
U,R,2F,D
U,R,2F,U'
U,R,2F,F'
U,R,2F,R'
U,R,2F,L'
U,R,2F,B'
